Time,,FFT complex,Frequency ,Magnitude
538,,-7.464466-38.748737i,1250,0.038536286
534,,2.195336-39.604352i,1254.882813,0.038735499
530,,-20.953905-39.318378i,1259.765625,0.043509131
526,,-30.635576-11.043693i,1264.648438,0.031802094
522,,7.062348-42.699551i,1269.53125,0.042265287
518,,-9.606126+0.095753i,1274.414063,0.009381448
514,,40.756083-23.178530i,1279.296875,0.045787167
509,,-4.602553-13.594570i,1284.179688,0.014016167
504,,-45.733653-5.293288i,1289.0625,0.044959923
499,,-5.731295+7.568687i,1293.945313,0.009271316
495,,-11.556171-10.811940i,1298.828125,0.015454488
491,,-4.689704+5.405917i,1303.710938,0.00698889
486,,-15.432390-29.115530i,1308.59375,0.032180257
482,,5.844513+2.208008i,1313.476563,0.00610126
477,,-8.933276-30.301414i,1318.359375,0.030850398
474,,-1.425760-10.024172i,1323.242188,0.009887753
471,,6.841445-16.130018i,1328.125,0.017110279
467,,1.634464-16.422989i,1333.007813,0.016117307
463,,0.657723+4.986890i,1337.890625,0.004912184
460,,50.272621-45.345951i,1342.773438,0.066115457
456,,-4.501252-12.970167i,1347.65625,0.013407264
452,,1.285189-0.799675i,1352.539063,0.001478191
449,,10.445928-15.942401i,1357.421875,0.018613127
446,,-18.706199-2.252968i,1362.304688,0.018399789
443,,-2.177764-26.142679i,1367.1875,0.025618388
440,,1.077841-21.609038i,1372.070313,0.021128811
437,,-9.347483-18.630573i,1376.953125,0.0203555
435,,-16.041337-21.270576i,1381.835938,0.02601695
432,,-20.509255-48.870702i,1386.71875,0.051757583
430,,13.586422-10.367071i,1391.601563,0.016689422
427,,24.097184-14.913691i,1396.484375,0.027674693
424,,-7.368235-36.140134i,1401.367188,0.036019144
422,,-12.893631+12.276500i,1406.25,0.017386054
419,,-16.845753-33.738157i,1411.132813,0.036826153
417,,-33.159213-21.394216i,1416.015625,0.038537065
415,,-12.229424-39.858637i,1420.898438,0.040715393
412,,-7.850397+3.921418i,1425.78125,0.008569649
410,,8.412512-6.033426i,1430.664063,0.010109785
407,,-17.854506-14.900139i,1435.546875,0.022710013
406,,-27.291115-20.140299i,1440.429688,0.033123131
404,,-15.584168-43.852520i,1445.3125,0.04544857
402,,-26.300366-23.348090i,1450.195313,0.034344504
400,,67.468149-11.169006i,1455.078125,0.06678358
399,,16.046701-42.089508i,1459.960938,0.043988946
398,,6.971830-19.524312i,1464.84375,0.020245843
397,,0.424466+17.776913i,1469.726563,0.017365215
397,,-13.291231+8.792654i,1474.609375,0.015562852
397,,22.495566-17.610328i,1479.492188,0.027899181
398,,-3.355089+1.742814i,1484.375,0.003692133
398,,-7.434807-29.085770i,1489.257813,0.029317349
399,,-5.040804-35.716085i,1494.140625,0.035224657
400,,7.552557-18.944761i,1499.023438,0.01991673
400,,7.941202-21.827001i,1503.90625,0.022682347
400,,0.789952+20.396460i,1508.789063,0.019933351
400,,-30.927280-9.716362i,1513.671875,0.031657866
401,,21.472650-15.290880i,1518.554688,0.025742856
401,,15.526912-8.943063i,1523.4375,0.017498283
401,,-22.046039+26.994564i,1528.320313,0.034036171
402,,-30.567741-17.356937i,1533.203125,0.034327944
403,,19.142472-13.456793i,1538.085938,0.022850718
404,,-10.293390-22.274326i,1542.96875,0.023962613
405,,7.929629-22.060492i,1547.851563,0.022892931
406,,-18.475736+0.440644i,1552.734375,0.018047842
408,,-23.502545-40.791711i,1557.617188,0.04597456
410,,-39.401803-7.840526i,1562.5,0.039232734
412,,33.908703-22.178135i,1567.382813,0.039567895
415,,7.713474-32.097882i,1572.265625,0.032237979
417,,6.613533-8.680295i,1577.148438,0.010656903
420,,3.693131-15.124729i,1582.03125,0.015204192
423,,0.255853+4.803914i,1586.914063,0.004697971
426,,-1.347559+2.571767i,1591.796875,0.00283538
430,,6.029669-2.179955i,1596.679688,0.006261366
433,,-1.843492-5.519687i,1601.5625,0.005683007
436,,-5.059919-41.841046i,1606.445313,0.041158094
439,,-20.234307-3.408940i,1611.328125,0.020038531
442,,13.792494-20.591672i,1616.210938,0.024203188
445,,-5.389372+1.049105i,1621.09375,0.005361849
448,,-10.448896-13.107251i,1625.976563,0.016369572
451,,-10.873303-1.669192i,1630.859375,0.01074285
454,,-7.167367+3.319391i,1635.742188,0.007713577
458,,8.175920-9.605384i,1640.625,0.012318207
461,,4.027922-10.511759i,1645.507813,0.010993215
464,,3.917935-27.657934i,1650.390625,0.027279352
467,,-7.627099-2.856693i,1655.273438,0.00795364
470,,-12.995044-8.048414i,1660.15625,0.014927298
473,,11.168321-17.729955i,1665.039063,0.020463184
476,,-54.547807-19.791395i,1669.921875,0.056667243
480,,-29.163472-4.853805i,1674.804688,0.028871712
483,,54.793906+4.510635i,1679.6875,0.053690674
486,,8.636985-17.623756i,1684.570313,0.019166374
489,,21.580966-3.077140i,1689.453125,0.021288321
490,,1.117877-16.592860i,1694.335938,0.016240697
496,,-23.289479-15.510814i,1699.21875,0.027326047
500,,-8.829977-11.456304i,1704.101563,0.014125273
505,,-6.164508-9.000474i,1708.984375,0.010653473
509,,3.867590+0.344418i,1713.867188,0.00379189
514,,-0.302734-25.501992i,1718.75,0.024906044
518,,10.761529-35.952887i,1723.632813,0.036649346
523,,-14.315044-15.793076i,1728.515625,0.020815716
528,,-2.620250+3.936072i,1733.398438,0.004617641
533,,-21.301650-7.493963i,1738.28125,0.022052152
537,,-2.092259-33.302984i,1743.164063,0.032586565
541,,-5.788503-23.711525i,1748.046875,0.023835792
545,,7.753123-5.702072i,1752.929688,0.009398598
549,,-22.531939-39.423883i,1757.8125,0.044344227
553,,0.624483-14.720033i,1762.695313,0.014387962
557,,13.858015-12.779043i,1767.578125,0.018408877
560,,-10.057605+0.902431i,1772.460938,0.009861338
564,,-0.966457-32.050380i,1777.34375,0.031313426
567,,-35.278957-1.240219i,1782.226563,0.034473389
570,,-30.413512-12.041005i,1787.109375,0.031943709
574,,37.864524-3.420445i,1791.992188,0.037127638
577,,1.270245-18.895625i,1796.875,0.018494407
580,,26.410768-20.070018i,1801.757813,0.032393835
583,,0.334609-5.712323i,1806.640625,0.005588003
586,,-14.411452+13.487043i,1811.523438,0.019275431
588,,16.179336-6.760512i,1816.40625,0.017124001
591,,-8.646235+13.930764i,1821.289063,0.016011562
594,,9.239854-8.906742i,1826.171875,0.012532952
596,,-14.862506-22.779694i,1831.054688,0.026561935
599,,13.424345+3.417156i,1835.9375,0.01352777
601,,-9.966544-20.841890i,1840.820313,0.022560842
604,,-40.133550-38.468212i,1845.703125,0.054289367
607,,-39.977971-22.035761i,1850.585938,0.044578906
608,,-1.112192-14.461310i,1855.46875,0.014164077
611,,8.994113-40.916310i,1860.351563,0.040911308
613,,-0.668684-24.591438i,1865.234375,0.024023953
616,,5.050007-21.731187i,1870.117188,0.021787349
618,,21.653223-21.515607i,1875,0.029809695
620,,-4.781085+6.703780i,1879.882813,0.008041056
621,,9.165402+11.210487i,1884.765625,0.014140936
623,,-9.999126-23.537723i,1889.648438,0.024974179
624,,-18.890029-14.501762i,1894.53125,0.023256427
625,,-14.496019-22.119711i,1899.414063,0.025826638
626,,13.806650+4.176391i,1904.296875,0.014086413
626,,3.284743-3.144464i,1909.179688,0.004440642
626,,-1.843769-23.216428i,1914.0625,0.022743678
626,,-12.922960-0.664478i,1918.945313,0.01263675
625,,0.622053-6.296453i,1923.828125,0.006178814
625,,13.082160-22.023061i,1928.710938,0.025015218
625,,-14.395117-39.326674i,1933.59375,0.040896948
624,,0.670624-37.540228i,1938.476563,0.036666228
623,,-15.707759-20.427132i,1943.359375,0.025164282
623,,-5.825020-0.656106i,1948.242188,0.005724467
622,,3.777416-4.097754i,1953.125,0.005442569
622,,-25.593738-29.562350i,1958.007813,0.038185616
621,,-25.534337+3.816023i,1962.890625,0.025212801
620,,-5.042846-21.335323i,1967.773438,0.021409366
620,,10.933004-12.962595i,1972.65625,0.016560135
619,,18.799167+3.801651i,1977.539063,0.018730184
618,,-18.007653-20.944123i,1982.421875,0.026973849
616,,7.023077-26.841115i,1987.304688,0.027094446
615,,15.568662-27.114657i,1992.1875,0.030533595
613,,-28.389191+33.361940i,1997.070313,0.042779292
611,,2.048260-1.862164i,2001.953125,0.002703337
608,,-24.449807-17.844132i,2006.835938,0.029559469
606,,-35.861024-15.237243i,2011.71875,0.038050698
604,,7.578517+13.179215i,2016.601563,0.0148465
602,,20.451994-11.870537i,2021.484375,0.023093044
599,,25.555525-16.124125i,2026.367188,0.029508873
596,,12.244267-19.585415i,2031.25,0.022556492
593,,-6.513115-6.454980i,2036.132813,0.008955
591,,-4.729577-37.824528i,2041.015625,0.037225658
588,,11.622198+0.062137i,2045.898438,0.011349965
585,,7.648794+3.448848i,2050.78125,0.008193738
582,,-1.740918-16.082659i,2055.664063,0.015797471
578,,19.746427+12.068683i,2060.546875,0.02260008
575,,9.088349-0.687636i,2065.429688,0.008900709
572,,-34.134856-32.124349i,2070.3125,0.04577529
569,,-10.857962-28.802249i,2075.195313,0.03005949
565,,13.463357-26.832660i,2080.078125,0.029317272
561,,1.980458-29.388020i,2084.960938,0.028764332
558,,2.818526-12.242021i,2089.84375,0.012267863
555,,-11.107284+1.457795i,2094.726563,0.010939981
552,,12.777052-8.369087i,2099.609375,0.014916003
549,,20.190378-24.119143i,2104.492188,0.030717267
545,,-15.421733+12.188192i,2109.375,0.019195897
543,,19.330763+1.647749i,2114.257813,0.018946155
540,,4.488877+3.878378i,2119.140625,0.005793233
536,,2.099050-20.218668i,2124.023438,0.019850913
532,,-0.572996-6.075447i,2128.90625,0.005959383
529,,-2.224939+9.861773i,2133.789063,0.0098727
525,,15.681119-2.500773i,2138.671875,0.015507104
521,,7.220123-25.929945i,2143.554688,0.02628554
517,,5.706762+5.505829i,2148.4375,0.007743918
512,,13.251087-29.186724i,2153.320313,0.031302692
507,,1.809910-25.627154i,2158.203125,0.025088854
502,,19.226444-5.130917i,2163.085938,0.019432918
498,,-12.842298-2.020063i,2167.96875,0.012695511
494,,14.310401-27.880482i,2172.851563,0.030604117
491,,-16.929404+2.462009i,2177.734375,0.016706533
485,,-36.811121-50.816770i,2182.617188,0.061278054
480,,23.031672+20.105358i,2187.5,0.029856046
476,,-16.665294+2.131600i,2192.382813,0.016407289
473,,-19.145828-3.696795i,2197.265625,0.019042443
469,,8.927639-12.612604i,2202.148438,0.015090356
465,,-4.717143+4.096864i,2207.03125,0.006101424
462,,16.519597+0.503051i,2211.914063,0.016139897
459,,5.168629+6.766700i,2216.796875,0.008315299
455,,-14.670641+22.254664i,2221.679688,0.026030434
452,,-3.548146-11.450974i,2226.5625,0.011707113
449,,-8.953693-8.425031i,2231.445313,0.01200615
445,,-0.462542-2.059953i,2236.328125,0.002061762
442,,32.985415+22.891076i,2241.210938,0.039209185
439,,-18.575922+2.159543i,2246.09375,0.018262724
436,,-7.907892+0.494266i,2250.976563,0.007737621
434,,-7.509952-7.020247i,2255.859375,0.010039293
431,,-5.740891-5.252488i,2260.742188,0.00759879
428,,-14.172949+3.196111i,2265.625,0.014188334
426,,4.201435-14.443072i,2270.507813,0.014689214
424,,32.661373-26.145783i,2275.390625,0.040856827
422,,2.269417-14.125178i,2280.273438,0.01397102
420,,10.560914-4.063807i,2285.15625,0.01105059
417,,37.545665+11.569546i,2290.039063,0.038366994
415,,-24.301260-44.622932i,2294.921875,0.049620113
412,,-4.826854-17.134576i,2299.804688,0.017384245
410,,-16.938385-25.898556i,2304.6875,0.030220532
407,,-21.694801-11.249558i,2309.570313,0.023865256
405,,-1.205623-33.116876i,2314.453125,0.032362123
403,,-7.010737-18.276112i,2319.335938,0.019115864
402,,-5.053605-10.357254i,2324.21875,0.01125429
400,,6.421395-15.956553i,2329.101563,0.016797042
399,,-11.659541+7.064786i,2333.984375,0.013313384
399,,-19.517442-44.340598i,2338.867188,0.04731059
398,,9.598995-4.706109i,2343.75,0.010440004
398,,35.960311+10.054807i,2348.632813,0.036464419
397,,8.990572-16.463167i,2353.515625,0.018318455
397,,0.131771-17.100764i,2358.398438,0.016700461
398,,-2.183165+0.529140i,2363.28125,0.002193725
398,,2.374873+0.439407i,2368.164063,0.002358575
399,,8.491618-9.577138i,2373.046875,0.012499586
400,,-4.304506-6.285198i,2377.929688,0.007439361
401,,-0.058136-32.696744i,2382.8125,0.031930465
401,,1.054955-16.416426i,2387.695313,0.016064734
402,,3.293443-9.421602i,2392.578125,0.009746727
401,,36.213293-10.961557i,2397.460938,0.03694916
403,,20.912897+18.671690i,2402.34375,0.027378279
403,,-15.112804-52.612051i,2407.226563,0.053456649
404,,13.921078-5.739750i,2412.109375,0.014705006
405,,8.516463-9.014136i,2416.992188,0.012110351
406,,-6.614466+5.231903i,2421.875,0.008235843
407,,-5.314815-15.970296i,2426.757813,0.01643696
409,,-9.510326-12.080964i,2431.640625,0.015014819
412,,-0.413681-15.792436i,2436.523438,0.015427591
415,,18.007340+2.680892i,2441.40625,0.01777911
417,,3.111459-9.987258i,2446.289063,0.010215539
420,,-5.625324-39.877558i,2451.171875,0.039328488
423,,-6.095514-15.458717i,2456.054688,0.016227613
425,,44.373210+39.814837i,2460.9375,0.05821986
428,,5.995489+15.212500i,2465.820313,0.015968097
431,,4.316176-9.210569i,2470.703125,0.009933324
434,,-1.208276-5.830610i,2475.585938,0.005814931
436,,-7.620825-15.545355i,2480.46875,0.016907087
439,,18.887135-9.015333i,2485.351563,0.020437941
442,,4.624701-12.766527i,2490.234375,0.013260125
445,,-4.411461+6.113034i,2495.117188,0.007361894
448,,41.000000-15.000000i,2500,0.042634531
452,,-20.552355-15.618035i,2504.882813,0.025208222
455,,24.969207-11.044032i,2509.765625,0.026662695
459,,10.070554-0.401898i,2514.648438,0.009842354
462,,-19.667238-9.747973i,2519.53125,0.021436008
465,,-5.952962-11.292691i,2524.414063,0.012466486
468,,12.460443-3.315727i,2529.296875,0.012591852
472,,-2.282023-8.558968i,2534.179688,0.008650357
474,,0.141840-11.613954i,2539.0625,0.011342598
477,,13.705355-22.634183i,2543.945313,0.025840054
480,,6.090020-6.182113i,2548.828125,0.008474563
484,,-29.132430+5.022594i,2553.710938,0.028869357
488,,6.253575+3.907846i,2558.59375,0.007201343
490,,16.075927-10.938142i,2563.476563,0.018988513
